experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
c69f0b3f-1011-4edf-b16b-3f12325c16ef,2022-07-26-03-50-13,2022-07-26-03-50-13,False,2022-07-26 03:50:17.221610,2022-07-26 03:51:15.655298,0 days 00:00:58.433688,Pipeline has been completed.,experiment.csv,0.5563722930860299,True,2022-07-26 03:51:15.656298
9c2171f8-6747-4f44-97e0-3d76a517be4f,2022-07-26-03-57-12,2022-07-26-03-57-12,True,2022-07-26 03:57:18.445493,,,Pipeline has been started.,experiment.csv,,,2022-07-26 03:57:18.462478
24ad03b0-5f60-4609-8299-d826f3d8d33b,2022-07-26-04-00-09,2022-07-26-04-00-09,True,2022-07-26 04:00:16.666318,,,Pipeline has been started.,experiment.csv,,,2022-07-26 04:00:16.674315
2af68649-79f1-4255-94db-3abdaa5129bb,2022-07-26-04-07-29,2022-07-26-04-07-29,True,2022-07-26 04:07:33.376809,,,Pipeline has been started.,experiment.csv,,,2022-07-26 04:07:33.377799
18e1f1ac-96a7-49d1-beaa-03cc654b8df4,2022-07-26-04-09-36,2022-07-26-04-09-36,True,2022-07-26 04:09:42.178205,,,Pipeline has been started.,experiment.csv,,,2022-07-26 04:09:42.179199
1d39f28e-c8da-499d-827f-9e418f7e5d16,2022-07-26-04-23-12,2022-07-26-04-23-12,True,2022-07-26 04:23:17.429472,,,Pipeline has been started.,experiment.csv,,,2022-07-26 04:23:17.430480
8e48864c-3851-431e-8330-cbd1ff5325a7,2022-07-26-04-56-03,2022-07-26-04-56-03,True,2022-07-26 04:56:16.989690,,,Pipeline has been started.,experiment.csv,,,2022-07-26 04:56:16.992691
85f34df7-3b48-4c44-972c-7eda3cf52ade,2022-07-26-04-58-57,2022-07-26-04-58-57,True,2022-07-26 04:59:02.721936,,,Pipeline has been started.,experiment.csv,,,2022-07-26 04:59:02.724944
951c4c4e-ed93-4dc9-82e7-29e52366613c,2022-07-26-05-00-57,2022-07-26-05-00-57,True,2022-07-26 05:01:02.139297,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:01:02.141294
af99b029-eda9-4053-9848-1eb82fa69e08,2022-07-26-05-04-16,2022-07-26-05-04-16,True,2022-07-26 05:04:23.171214,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:04:23.174213
71db7e8e-a9b3-413f-9bda-238c0c6e9ae0,2022-07-26-05-08-46,2022-07-26-05-08-46,True,2022-07-26 05:08:52.611730,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:08:52.613744
c861fab0-520c-4bc8-9872-9f2cec2305e1,2022-07-26-05-17-04,2022-07-26-05-17-04,True,2022-07-26 05:17:09.360425,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:17:09.361426
ed8d46ab-10db-4d8f-abae-76f378df60eb,2022-07-26-05-20-08,2022-07-26-05-20-08,True,2022-07-26 05:20:13.669478,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:20:13.670497
81b7e3d8-fc40-4cdb-841d-baf88d3f39ac,2022-07-26-05-32-05,2022-07-26-05-32-05,True,2022-07-26 05:32:10.956625,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:32:10.957626
73f447b8-34cb-40f8-b173-6e4fafc03a69,2022-07-26-05-41-11,2022-07-26-05-41-11,True,2022-07-26 05:41:15.735282,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:41:15.736280
e9262427-8311-4ace-81fc-73b41850830c,2022-07-26-05-46-51,2022-07-26-05-46-51,True,2022-07-26 05:46:55.187234,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:46:55.188241
98cc2a4c-f8a9-4bab-b24f-26a58788a6aa,2022-07-26-05-47-49,2022-07-26-05-47-49,True,2022-07-26 05:47:56.963635,,,Pipeline has been started.,experiment.csv,,,2022-07-26 05:47:56.965636
f2fb6fd9-532f-4854-9350-68e8984bcd62,2022-07-26-06-05-28,2022-07-26-06-05-28,True,2022-07-26 06:05:34.831995,,,Pipeline has been started.,experiment.csv,,,2022-07-26 06:05:34.833993
219e7569-4d39-4918-abe1-fc3da08d9b9d,2022-07-27-04-41-34,2022-07-27-04-41-34,True,2022-07-27 04:41:34.872635,,,Pipeline has been started.,experiment.csv,,,2022-07-27 04:41:34.887633
d575f717-d2de-472c-951e-886e5acba941,2022-07-29-04-53-54,2022-07-29-04-53-54,True,2022-07-29 04:53:59.677919,,,Pipeline has been started.,experiment.csv,,,2022-07-29 04:53:59.680919
66b467dc-5627-4d76-85c4-a24bc86170db,2022-07-29-05-26-06,2022-07-29-05-26-06,True,2022-07-29 05:26:19.610658,,,Pipeline has been started.,experiment.csv,,,2022-07-29 05:26:19.611659
4c35b5f7-876a-456d-80df-e2456429dfdc,2022-07-30-08-20-38,2022-07-30-08-20-38,True,2022-07-30 08:20:38.877877,,,Pipeline has been started.,experiment.csv,,,2022-07-30 08:20:38.889879
